Product_Name,Brand,Category,Price_USD,Rating,Number_of_Reviews,Country_of_Origin,Black_owned
Divine Concealer,Perricone MD,Primer,114.25,4.6,8534,France,False
Divine Exfoliator,Kylie Cosmetics,Face Mask,72.78,3.9,1857,Germany,False
Super Contour,Rare Beauty,Primer,114.03,1.0,9905,Japan,True
Divine Contour,Milk Makeup,Mascara,105.93,1.7,5581,UK,False
Ultra Foundation,Pat McGrath Labs,Setting Spray,40.89,3.0,7249,South Korea,True
Divine Face Mask,Clinique,Contour,141.48,3.7,9189,Germany,True
Divine Concealer,Anastasia Beverly Hills,Face Mask,109.61,1.7,506,Italy,False
Super Exfoliator,Sisley,Moisturizer,78.62,2.7,4829,Germany,True
Divine BB Cream,KVD Beauty,Lip Liner,101.67,2.3,52,UK,True
Perfect Cleanser,Farsali,Bronzer,85.31,1.3,8316,UK,True
Divine Exfoliator,Clinique,Makeup Remover,76.5,4.8,8962,Italy,True
Magic Contour,Natasha Denona,Face Mask,129.66,3.3,7110,Italy,True
Super Lipstick,Shiseido,Concealer,42.77,4.9,6165,Japan,True
Magic Eyeliner,Milk Makeup,Blush,97.68,1.3,7863,Italy,False
Divine Setting Spray,Bobby Brown,Blush,126.69,4.8,9525,France,True
Magic Highlighter,IT Cosmetics,Lip Liner,141.34,4.9,9617,Japan,True
Ultra Eye Shadow,NARS,Foundation,136.12,4.6,5489,UK,True
Magic Primer,Clinique,Blush,48.08,2.6,8445,Italy,True
Divine Lip Gloss,Rare Beauty,Face Oil,149.9,4.3,6185,UK,True
Super Lip Liner,Becca,Exfoliator,89.22,2.5,8595,South Korea,True
Divine Cleanser,KVD Beauty,BB Cream,41.47,4.3,108,South Korea,True
Super Face Mask,Shiseido,Setting Spray,43.51,3.5,3246,USA,True
Super Contour,NARS,Highlighter,70.22,1.4,6921,Germany,True
Ultra Serum,Patrick Ta,Moisturizer,108.06,3.5,1467,Germany,True
Super Primer,Danessa Myricks,Primer,148.83,2.7,7034,Australia,True
Divine Setting Spray,Natasha Denona,BB Cream,22.51,3.6,8061,France,True
Divine Mascara,Sisley,Concealer,107.14,2.8,5333,UK,True
Divine Lip Gloss,Laura Mercier,Cleanser,93.49,1.7,1959,Australia,True
Super Blush,Sisley,Face Oil,57.93,3.2,7353,Italy,True
Magic Serum,Huda Beauty,Setting Spray,129.56,3.7,7580,France,True
Ultra Lip Gloss,Charlotte Tilbury,Contour,39.63,3.4,4162,USA,False
Divine Face Oil,Urban Decay,Exfoliator,71.49,2.8,770,Japan,False
Ultra Setting Spray,IT Cosmetics,Setting Spray,62.75,3.1,2901,France,True
Ultra Lip Liner,Bobby Brown,Face Oil,88.28,3.1,159,Japan,True
Magic Cleanser,NARS,Face Oil,94.71,3.9,5860,Germany,True
Magic Serum,Morphe,Powder,63.46,4.2,2493,South Korea,True
Ultra BB Cream,KVD Beauty,Makeup Remover,117.39,3.6,709,USA,True
Magic Lipstick,Tatcha,Eye Shadow,53.38,1.7,2607,Australia,False
Ultra Exfoliator,Bite Beauty,Moisturizer,71.22,1.5,6782,South Korea,False
Divine Serum,Charlotte Tilbury,Moisturizer,26.05,4.4,8170,Italy,False
Perfect Concealer,Kiehl’s,Bronzer,136.41,1.3,7205,South Korea,True
Super Powder,NARS,Contour,97.91,2.2,7774,UK,True
Divine Mascara,Bourjois,BB Cream,148.59,2.0,3949,Italy,True
Ultra Face Oil,Tarte,Foundation,22.49,3.5,9078,Italy,False
Perfect Lipstick,Bourjois,Concealer,83.7,1.5,7243,Australia,True
Divine Primer,Bite Beauty,Eyeliner,145.44,2.1,2793,Japan,False
Super Contour,Sisley,Concealer,128.12,2.9,2377,Japan,True
Magic Eye Shadow,Fenty Beauty,Serum,122.23,2.4,5600,South Korea,True
Divine Highlighter,Farsali,Moisturizer,119.67,4.4,9166,Italy,True
Ultra Powder,Clinique,Foundation,92.43,1.7,2230,Australia,True
Ultra Powder,IT Cosmetics,Exfoliator,69.14,4.6,6584,USA,True
Ultra Powder,Bite Beauty,Lip Gloss,29.6,3.4,8832,Japan,False
Divine Primer,ColourPop,CC Cream,67.61,2.4,425,USA,False
Perfect Cleanser,Juvia’s Place,Moisturizer,86.18,4.9,3436,Australia,True
Super Makeup Remover,Milk Makeup,Contour,55.52,1.2,5117,USA,False
Perfect Setting Spray,Pat McGrath Labs,Highlighter,142.14,3.3,4548,Germany,True
Magic Eyeliner,Shiseido,CC Cream,149.16,4.4,6158,USA,True
Divine Cleanser,Sisley,Cleanser,52.89,3.0,9595,Australia,True
Ultra Powder,Patrick Ta,Cleanser,94.96,1.0,9200,Australia,True
Divine Lip Gloss,Farsali,Face Oil,143.49,2.6,8066,UK,True
Perfect Lip Liner,Huda Beauty,Lip Gloss,62.28,3.7,7809,UK,True
Perfect Eye Shadow,Natasha Denona,CC Cream,149.85,1.8,7547,USA,True
Super Lip Gloss,Patrick Ta,Bronzer,83.63,4.8,3968,UK,True
Divine Highlighter,Bourjois,Mascara,51.65,2.1,3815,Australia,True
Magic Makeup Remover,Too Faced,Makeup Remover,65.46,2.5,1441,USA,False
Perfect Cleanser,Ilia Beauty,Moisturizer,47.92,3.9,8471,Italy,True
Ultra Highlighter,Shiseido,Primer,71.25,4.0,5749,France,True
Ultra Lipstick,NARS,Powder,73.09,4.8,1574,Germany,True
Super Setting Spray,Farsali,Exfoliator,45.01,4.3,7285,UK,True
Magic Powder,Kylie Cosmetics,Mascara,127.22,3.1,9065,Japan,False
Perfect Setting Spray,Sisley,Face Mask,62.17,4.9,4328,Germany,True
Perfect Moisturizer,Rare Beauty,Eye Shadow,46.09,2.4,7298,USA,True
Super Cleanser,Becca,Powder,132.84,2.1,4276,France,True
Perfect Contour,Farsali,Cleanser,70.92,2.0,5971,France,True
Divine Setting Spray,Bite Beauty,Serum,46.21,4.5,8829,Germany,False
Super Setting Spray,Ilia Beauty,CC Cream,73.99,2.2,7777,Japan,True
Magic Lip Gloss,Kylie Cosmetics,Blush,47.86,1.4,7664,South Korea,False
Perfect Highlighter,Milk Makeup,Primer,103.84,3.3,1206,USA,False
Perfect Concealer,Juvia’s Place,Moisturizer,40.17,2.1,6895,Australia,True
Magic Lip Liner,RMS Beauty,Contour,43.28,3.4,1567,Australia,False
Magic Powder,Becca,Concealer,108.74,4.0,5921,UK,True
Ultra Lip Gloss,Kiehl’s,Eye Shadow,78.36,1.9,3534,USA,True
Ultra Exfoliator,Laura Mercier,Makeup Remover,46.74,1.2,6838,USA,True
Super BB Cream,RMS Beauty,Moisturizer,97.76,1.9,7701,Germany,False
Super Eyeliner,Charlotte Tilbury,Concealer,137.54,1.9,2124,Australia,False
Ultra Lip Liner,Morphe,Primer,92.26,1.3,9864,USA,True
Divine Concealer,Tarte,Lipstick,79.18,1.0,7201,Italy,False
Perfect Mascara,ColourPop,Blush,83.29,2.3,4336,Japan,False
Ultra Primer,Becca,Foundation,64.4,4.0,6745,USA,True
Perfect Exfoliator,E.l.f.,Face Oil,133.83,2.5,2589,USA,True
Ultra Eyeliner,Bobby Brown,Eyeliner,11.24,3.1,8830,UK,True
Super Eye Shadow,Patrick Ta,Mascara,23.43,4.8,5322,UK,True
Magic Mascara,Urban Decay,BB Cream,57.18,2.1,1421,UK,False
Divine Primer,Kiehl’s,Serum,102.88,4.6,9311,USA,True
Perfect Concealer,Becca,Powder,142.44,4.2,451,USA,True
Perfect Lip Liner,Laura Mercier,Concealer,39.89,4.6,3914,South Korea,True
Super Exfoliator,Drunk Elephant,Lip Liner,23.98,1.5,8320,Japan,False
Super Eyeliner,KVD Beauty,Face Mask,112.59,4.7,7668,Italy,True
Super Makeup Remover,Anastasia Beverly Hills,Exfoliator,148.49,1.1,3368,France,False
Perfect Eye Shadow,Glossier,BB Cream,33.77,4.3,442,South Korea,True
Ultra Cleanser,Ilia Beauty,Face Oil,27.29,3.5,6783,France,True
Perfect Lip Liner,Charlotte Tilbury,Face Oil,147.41,4.5,2448,France,False
Magic Setting Spray,Huda Beauty,Bronzer,45.24,1.6,9014,Australia,True
Perfect Mascara,Perricone MD,Contour,13.42,1.3,6389,Australia,False
Magic Serum,Tatcha,BB Cream,44.25,3.6,7779,Japan,False
Magic Highlighter,Too Faced,Face Oil,100.75,2.0,270,South Korea,False
Divine Moisturizer,E.l.f.,Highlighter,40.73,2.9,4891,Italy,True
Magic Contour,Juvia’s Place,Highlighter,82.79,2.2,2172,Australia,True
Super Concealer,Milk Makeup,Concealer,129.35,4.8,2964,UK,False
Magic Lipstick,RMS Beauty,Mascara,76.05,1.4,9536,Australia,False
Divine CC Cream,Bobby Brown,Cleanser,123.79,2.0,8183,Italy,True
Ultra Lipstick,Bobby Brown,Moisturizer,113.13,3.6,138,Germany,True
Perfect Setting Spray,Pat McGrath Labs,Highlighter,27.41,1.6,6213,USA,True
Ultra Eyeliner,Huda Beauty,Eyeliner,89.35,2.1,7837,Australia,True
Magic Face Oil,Laura Mercier,Face Oil,108.45,4.9,7641,Australia,True
Ultra CC Cream,Bite Beauty,Makeup Remover,55.75,3.6,6536,Italy,False
Super Face Oil,KVD Beauty,Bronzer,148.58,2.8,93,France,True
Ultra Blush,Kiehl’s,Contour,115.69,2.2,4621,USA,True
Super Face Mask,Too Faced,Concealer,71.83,1.8,870,France,False
Divine Cleanser,KVD Beauty,Exfoliator,48.37,2.8,5551,UK,True
Super Highlighter,Rare Beauty,BB Cream,130.52,1.3,662,South Korea,True
Perfect Mascara,Perricone MD,Cleanser,24.44,2.6,5826,South Korea,False
Ultra Eyeliner,Kiehl’s,Lip Gloss,136.35,2.1,9142,Germany,True
Super Face Oil,Kiehl’s,Lip Gloss,21.42,4.3,461,Italy,True
Divine Primer,Hourglass,Face Oil,18.3,1.5,7630,Italy,False
Perfect BB Cream,Patrick Ta,Mascara,53.85,1.7,5979,South Korea,True
Perfect Lip Liner,Hourglass,Setting Spray,51.03,4.0,3838,Germany,False
Divine Setting Spray,Juvia’s Place,Serum,15.99,3.3,6559,Australia,True
Magic Lip Liner,NARS,CC Cream,100.05,1.1,743,Germany,True
Super Mascara,Hourglass,Lip Gloss,95.4,4.0,2192,South Korea,False
Ultra Cleanser,NARS,Powder,52.06,3.7,8047,Japan,True
Magic Highlighter,Charlotte Tilbury,Mascara,110.71,2.2,5384,Australia,False
Perfect Foundation,Fenty Beauty,Moisturizer,31.89,3.2,6463,Germany,True
Divine Cleanser,Tarte,Bronzer,58.92,4.2,3820,UK,False
Super Highlighter,Pat McGrath Labs,Exfoliator,54.65,4.9,7666,UK,True
Perfect Highlighter,Perricone MD,Cleanser,148.17,2.0,6541,South Korea,False
Perfect Lip Gloss,Ilia Beauty,Foundation,119.22,2.8,8082,France,True
Divine CC Cream,Tarte,Eye Shadow,143.59,1.2,9635,South Korea,False
Divine Eye Shadow,ColourPop,Lip Gloss,116.47,3.6,9048,UK,False
Ultra Eye Shadow,Kiehl’s,Blush,35.66,2.7,3081,Italy,True
Perfect Primer,Juvia’s Place,Mascara,37.4,2.6,5029,Germany,True
Super Contour,Glossier,Makeup Remover,144.29,3.0,1718,USA,True
Perfect Contour,Sisley,Blush,104.34,1.9,401,Australia,True
Magic Cleanser,Anastasia Beverly Hills,Concealer,84.07,3.8,3362,South Korea,False
Ultra Mascara,Tatcha,Bronzer,104.9,4.5,6379,USA,False
Super BB Cream,Shiseido,Concealer,131.63,3.6,9990,South Korea,True
Super Setting Spray,Perricone MD,Foundation,114.6,2.4,991,South Korea,False
Perfect Lipstick,Tarte,Face Mask,40.81,3.8,8723,Italy,False
Ultra Lipstick,Huda Beauty,Bronzer,11.44,1.8,3305,Germany,True
Magic Eye Shadow,KVD Beauty,CC Cream,127.76,2.3,8587,Australia,True
Ultra Blush,IT Cosmetics,Lipstick,76.92,1.3,9889,South Korea,True
Ultra Blush,E.l.f.,Eye Shadow,120.91,3.2,5159,UK,True
Super Primer,Farsali,Lipstick,67.32,1.5,6102,France,True
Ultra BB Cream,Kylie Cosmetics,Contour,87.39,2.6,4846,USA,False
Super Face Mask,Charlotte Tilbury,Cleanser,85.83,4.6,8613,Japan,False
Perfect Powder,Shiseido,Highlighter,47.15,4.1,6406,USA,True
Divine Bronzer,Farsali,Foundation,103.0,5.0,9904,Australia,True
Magic Setting Spray,Clinique,Serum,113.65,2.3,3028,Australia,True
Ultra Makeup Remover,Anastasia Beverly Hills,Blush,96.37,2.2,776,Italy,False
Super BB Cream,Bobby Brown,Eyeliner,70.72,1.6,8753,USA,True
Divine Primer,E.l.f.,Concealer,114.3,2.7,3174,Italy,True
Magic Blush,Kylie Cosmetics,Highlighter,55.93,3.3,8919,Australia,False
Divine Lip Gloss,Kylie Cosmetics,Foundation,134.96,4.7,5283,UK,False
Ultra Bronzer,Juvia’s Place,Lip Liner,43.32,1.7,1448,South Korea,True
Magic Bronzer,Bobby Brown,Moisturizer,40.31,4.9,7779,USA,True
Magic Mascara,Farsali,Lipstick,31.57,4.0,6269,Japan,True
Magic Blush,Kylie Cosmetics,Contour,96.34,3.9,8488,Australia,False
Perfect Serum,Make Up For Ever,Primer,101.91,1.9,4422,USA,True
Divine Mascara,Make Up For Ever,Face Oil,10.2,1.8,7814,Italy,True
Super Lip Gloss,Drunk Elephant,Primer,63.5,3.2,4547,Japan,False
Perfect Eye Shadow,Bobby Brown,Eyeliner,119.63,2.2,3089,USA,True
Divine Highlighter,Yves Saint Laurent,BB Cream,147.67,1.0,9889,Japan,True
Ultra Serum,Juvia’s Place,Eyeliner,70.24,2.4,5240,USA,True
Super Blush,Becca,Face Oil,86.98,1.8,8258,USA,True
Super Lip Liner,Becca,CC Cream,145.28,4.7,766,Italy,True
Super Setting Spray,Milk Makeup,Eye Shadow,63.09,1.3,8611,France,False
Divine BB Cream,Shiseido,Primer,86.62,4.3,6736,Germany,True
Super Face Oil,Hourglass,Powder,107.2,4.6,9835,UK,False
Super Contour,Kylie Cosmetics,Concealer,107.24,4.4,3865,South Korea,False
Super Bronzer,Huda Beauty,Mascara,86.57,1.2,5072,Italy,True
Divine Eye Shadow,Bite Beauty,Serum,106.8,3.5,8552,France,False
Divine BB Cream,Clinique,Lip Liner,57.84,4.3,9804,Italy,True
Divine Lipstick,NARS,Cleanser,79.2,4.5,7625,Japan,True
Super Face Oil,NARS,Powder,95.98,1.3,8285,Germany,True
Divine Primer,Kylie Cosmetics,Face Oil,91.97,4.5,4038,Italy,False
Divine CC Cream,Patrick Ta,Mascara,126.27,1.5,5729,Germany,True
Magic Mascara,Make Up For Ever,Mascara,148.03,1.8,855,Germany,True
Magic Moisturizer,RMS Beauty,Serum,18.16,3.5,7572,Australia,False
Ultra BB Cream,RMS Beauty,Face Oil,148.16,2.9,4420,Italy,False
Divine Mascara,Bobby Brown,Highlighter,68.59,3.3,3530,USA,True
Magic Powder,Juvia’s Place,Concealer,101.28,4.2,6529,France,True
Magic BB Cream,Fenty Beauty,Contour,85.46,3.7,5907,South Korea,True
Super Mascara,Morphe,Eyeliner,108.6,2.7,4371,Italy,True
Magic Exfoliator,Kylie Cosmetics,Foundation,33.72,4.4,1242,Italy,False
Ultra BB Cream,Becca,Lipstick,17.88,2.8,1262,France,True
Ultra Eyeliner,Fenty Beauty,Eye Shadow,57.37,4.6,3254,France,True
Magic Face Mask,Yves Saint Laurent,Cleanser,90.53,2.6,2864,Australia,True
Divine Primer,IT Cosmetics,Face Oil,141.54,4.7,1433,France,True
Super Blush,Natasha Denona,Eye Shadow,54.79,1.1,7425,Germany,True
Ultra Concealer,Natasha Denona,Moisturizer,51.94,1.5,2735,South Korea,True
Perfect Face Oil,E.l.f.,Foundation,74.3,1.7,9875,Australia,True
Ultra Moisturizer,RMS Beauty,Lip Gloss,22.41,4.0,7505,Australia,False
Ultra Foundation,Kylie Cosmetics,Blush,115.5,1.5,6391,Australia,False
Divine Lipstick,Huda Beauty,Foundation,72.31,2.7,6582,Italy,True
Perfect Concealer,Farsali,Eyeliner,116.87,4.0,774,France,True
Perfect Lip Liner,Morphe,Lipstick,23.24,2.9,7651,Japan,True
Ultra Setting Spray,E.l.f.,Foundation,52.39,2.8,1733,South Korea,True
Magic Cleanser,Juvia’s Place,Lipstick,77.73,4.3,6990,Australia,True
Ultra Contour,RMS Beauty,Face Mask,11.07,2.6,6608,France,False
Super Serum,Huda Beauty,Lipstick,79.14,4.6,4266,USA,True
Magic Lip Liner,NARS,Cleanser,37.65,3.1,4615,South Korea,True
Perfect Makeup Remover,Shiseido,CC Cream,31.52,1.5,1882,USA,True
Perfect Concealer,Tatcha,Face Mask,85.74,2.8,9124,Australia,False
Divine Foundation,Bite Beauty,Bronzer,32.99,4.4,5787,Italy,False
Ultra CC Cream,Anastasia Beverly Hills,BB Cream,119.6,4.5,2812,USA,False
Magic Foundation,RMS Beauty,Bronzer,120.89,2.9,2995,Australia,False
Perfect Blush,Clinique,Powder,136.64,2.3,9817,UK,True
Super Lip Gloss,Sisley,BB Cream,105.97,3.8,6705,Italy,True
Super Blush,Anastasia Beverly Hills,Foundation,142.12,3.4,9423,Australia,False
Perfect Eye Shadow,Glossier,Setting Spray,103.69,4.8,6741,USA,True
Perfect Powder,Yves Saint Laurent,Highlighter,79.97,1.8,8236,UK,True
Ultra Blush,Huda Beauty,Moisturizer,44.62,4.1,7991,UK,True
Divine Primer,Becca,Eyeliner,136.24,4.7,1645,Italy,True
Perfect Highlighter,Morphe,Eyeliner,146.43,3.4,946,Japan,True
Perfect Eyeliner,ColourPop,Concealer,129.74,2.0,2946,USA,False
Ultra Cleanser,Bobby Brown,Foundation,73.44,2.0,3142,South Korea,True
Perfect Makeup Remover,RMS Beauty,Lip Liner,60.46,3.5,4261,France,False
Divine BB Cream,Pat McGrath Labs,Powder,42.04,2.4,3548,France,True
Divine Bronzer,Juvia’s Place,Setting Spray,38.4,4.6,5068,UK,True
Super Lip Liner,Kiehl’s,Cleanser,108.54,4.8,999,Australia,True
Super Foundation,NARS,Face Mask,25.85,3.8,5070,Australia,True
Divine Exfoliator,Danessa Myricks,Contour,142.82,2.5,9883,Japan,True
Perfect BB Cream,Sisley,Eye Shadow,142.43,4.6,2351,USA,True
Ultra Serum,Perricone MD,Setting Spray,109.25,4.2,3562,Germany,False
Divine Serum,NARS,CC Cream,63.82,2.1,1558,South Korea,True
Divine Highlighter,Anastasia Beverly Hills,Eyeliner,96.57,1.6,4649,Australia,False
Ultra Highlighter,Glossier,Makeup Remover,81.47,3.5,7022,South Korea,True
Magic Serum,Tarte,Eyeliner,65.82,1.3,5002,South Korea,False
Perfect Powder,Laura Mercier,Contour,64.75,3.5,1783,Japan,True
Super Cleanser,Bourjois,CC Cream,65.16,3.9,6707,Australia,True
Divine Concealer,Milk Makeup,Foundation,132.63,4.7,6350,Italy,False
Ultra BB Cream,Shiseido,Cleanser,35.49,1.4,3418,USA,True
Magic Concealer,Yves Saint Laurent,Exfoliator,104.76,2.5,5584,UK,True
Divine Primer,Morphe,CC Cream,126.62,3.1,228,Italy,True
Divine Highlighter,E.l.f.,Concealer,102.31,4.8,3220,South Korea,True
Perfect CC Cream,NARS,Bronzer,45.99,2.5,4133,South Korea,True
Divine BB Cream,Laura Mercier,Foundation,103.16,2.4,1202,Australia,True
Perfect Eyeliner,Rare Beauty,Powder,32.02,4.8,6744,UK,True
Perfect Contour,Natasha Denona,Contour,109.15,2.5,8361,Japan,True
Super BB Cream,Huda Beauty,Primer,57.36,3.8,3738,Australia,True
Ultra Concealer,Patrick Ta,Moisturizer,121.9,1.7,6124,Germany,True
Magic Bronzer,Ilia Beauty,Highlighter,135.32,1.1,2457,USA,True
Super Contour,Laura Mercier,Cleanser,94.19,3.9,6048,Italy,True
Ultra Primer,Yves Saint Laurent,Makeup Remover,141.56,1.6,1947,Australia,True
Divine Face Mask,Becca,Setting Spray,20.84,4.0,5919,Japan,True
Ultra Face Oil,Shiseido,Primer,19.66,2.2,9700,Australia,True
Divine Lip Gloss,Juvia’s Place,Cleanser,137.69,3.5,5234,Australia,True
Magic Lip Gloss,Becca,Contour,68.32,1.6,499,USA,True
Ultra CC Cream,Hourglass,Highlighter,25.07,1.3,1556,Japan,False
Magic Lip Liner,Ilia Beauty,Face Oil,110.26,1.0,1018,Italy,True
Divine CC Cream,Bobby Brown,Face Mask,74.56,1.2,8198,Germany,True
Divine Foundation,Patrick Ta,Cleanser,92.06,1.9,1332,Italy,True
Magic Serum,ColourPop,Highlighter,96.46,4.4,3308,South Korea,False
Divine Serum,KVD Beauty,Lipstick,18.93,3.1,6253,USA,True
Divine Lip Gloss,Juvia’s Place,Mascara,64.03,2.5,9528,Japan,True
Magic Lipstick,Drunk Elephant,Lip Gloss,48.94,1.7,9317,Italy,False
Ultra Lipstick,Glossier,Mascara,87.32,2.3,9796,Germany,True
Ultra Blush,Laura Mercier,Makeup Remover,67.11,3.6,9943,UK,True
Ultra BB Cream,Tatcha,Face Mask,126.39,4.2,5702,South Korea,False
Magic Face Mask,Perricone MD,Face Oil,32.63,1.3,3151,Japan,False
Divine Moisturizer,Danessa Myricks,Highlighter,106.19,1.1,1641,USA,True
